Jdis,O^z,error,N
0.1,0.3234648078939608,0.00030352930013209255,732.0
0.2,0.31080482913751856,0.0003512639249888391,1000.0
0.3,0.29168990233115144,0.00048157750383973503,1000.0
0.4,0.2653185568104607,0.0006294794645390551,1000.0
0.5,0.23738560356657734,0.0007312491194221117,1000.0
0.6,0.20905386056122888,0.0007941784008168509,1000.0
0.8,0.15898312909725587,0.0008347381181812348,1000.0
0.9,0.13681570563881976,0.0008206614816994198,1000.0
1.0,0.11747815544446091,0.0007954907306514905,1000.0
1.1,0.10179553955141221,0.0007718378929636598,1000.0
1.2,0.08958267855242548,0.000748228506150965,1000.0
1.5,0.06031566183665883,0.0006437043123471765,1000.0
1.8,0.041133531410796245,0.0005471711442585996,1000.0
