Dimerization,ZL
0.0,0.4830689081505365
0.05,0.4253023656237558
0.1,0.3999480790176385
0.15,0.30986061728138103
0.2,0.1705876531000718
0.25,-0.1128187217022016
0.3,-0.2188600880250831
0.35,-0.2940733079051692
0.4,-0.2884781571625254
0.45,-0.3433035751214134
0.5,-0.2851359454096826
0.55,-0.31663737703898603
0.6,0.01277777589665736
0.65,0.2801980833879709
0.7,0.412967778454934
0.75,0.5100091772463767
0.8,0.5818884628341344
0.85,0.6353290168194502
0.9,0.6762102109629077
0.95,0.7084880971097741
1.0,0.7341281321104409
